Name,Bus,Fuel,Max_Cap,Min_Cap,Heat_Rate
ID_493_3,606631,NG (Natural Gas),23.5,10.38,8.037
ID_10003_GEN1,601941,NG (Natural Gas),7.5,3.31,8.037
ID_10003_GEN2,601941,NG (Natural Gas),7.5,3.31,8.037
ID_10003_GEN3,601941,NG (Natural Gas),20.0,8.83,8.037
ID_506_2,606631,OIL,0.7,0.25,9.96
ID_506_3,606631,OIL,0.4,0.14,9.96
ID_507_1,606631,OIL,0.3,0.11,9.96
ID_507_2,606631,OIL,0.3,0.11,9.96
ID_506_4,606631,OIL,1.0,0.35,9.96
ID_504_3,605141,OIL,0.3,0.11,9.96
ID_504_5,605141,OIL,0.3,0.11,9.96
ID_508_IC2,606631,OIL,1.0,0.35,9.96
ID_508_IC1,606631,OIL,1.0,0.35,9.96
ID_8100_2,605771,OIL,0.2,0.07,9.96
ID_8100_IC4,605771,OIL,0.5,0.18,9.96
ID_504_1,605141,OIL,0.9,0.32,9.96
ID_507_4,606631,OIL,1.0,0.35,9.96
ID_507_5,606631,OIL,1.0,0.35,9.96
ID_506_6,606631,OIL,3.0,1.05,9.96
ID_491_5,530021,OIL,1.0,0.35,9.96
ID_8100_IC5,605771,OIL,0.8,0.28,9.96
ID_506_7,606631,OIL,3.5,1.23,9.96
ID_506_8,606631,OIL,3.5,1.23,9.96
ID_491_3,530021,OIL,0.5,0.18,9.96
ID_460_IC1,606631,OIL,2.0,0.7,9.96
ID_460_IC2,606631,OIL,2.0,0.7,9.96
ID_460_IC3,606631,OIL,2.0,0.7,9.96
ID_460_IC4,606631,OIL,2.0,0.7,9.96
ID_460_IC5,606631,OIL,2.0,0.7,9.96
ID_504_4,605141,OIL,1.3,0.46,9.96
ID_6516_IC2,606631,OIL,2.0,0.7,9.96
ID_6516_IC3,606631,OIL,2.0,0.7,9.96
ID_6516_IC4,606631,OIL,2.0,0.7,9.96
ID_6516_IC5,606631,OIL,2.0,0.7,9.96
ID_8100_1,605771,OIL,1.2,0.42,9.96
ID_507_6,606631,OIL,3.0,1.05,9.96
ID_506_9,606631,OIL,5.1,1.79,9.96
ID_6619_1,605141,OIL,64.7,22.72,9.96
ID_6619_2,605141,OIL,64.7,22.72,9.96
ID_54630_D1,601941,OIL,1.6,0.56,9.96
ID_54630_D2,601941,OIL,1.6,0.56,9.96
ID_502_EMD,606631,OIL,0.7,0.25,9.96
ID_511_5,605771,OIL,1.8,0.63,9.96
ID_511_6,605771,OIL,1.8,0.63,9.96
ID_511_7,605771,OIL,1.8,0.63,9.96
ID_502_5,606631,OIL,0.4,0.14,9.96
ID_7995_IC1,606631,OIL,2.5,0.88,9.96
ID_7995_IC2,606631,OIL,2.5,0.88,9.96
ID_7995_IC3,606631,OIL,2.5,0.88,9.96
ID_7995_IC4,606631,OIL,2.5,0.88,9.96
ID_502_CAT,606631,OIL,1.8,0.63,9.96
ID_50637_GEN3,134461,BIO,28.8,9.87,13.5
ID_55090_GEN1,106771,BIO,6.2,2.12,13.5
ID_50099_GEN1,134461,BIO,6.2,2.12,13.5
ID_50637_GEN4,134461,BIO,65.0,22.28,13.5
ID_57861_UNT1,740011,BIO,1.5,0.51,13.5
ID_57861_UNT2,740011,BIO,1.5,0.51,13.5
ID_57344_GS1,500071,BIO,0.8,0.27,13.5
ID_57344_GS2,500071,BIO,0.8,0.27,13.5
ID_57344_GS3,500071,BIO,0.8,0.27,13.5
ID_57343_1,741041,BIO,1.1,0.38,13.5
ID_57343_2,741041,BIO,1.1,0.38,13.5
ID_57393_GEN1,741041,BIO,0.8,0.27,13.5
ID_57393_GEN2,741041,BIO,0.8,0.27,13.5
ID_57345_1,700001,BIO,0.9,0.31,13.5
ID_57345_2,700001,BIO,0.9,0.31,13.5
ID_57425_1,741041,BIO,1.5,0.51,13.5
ID_57425_2,741041,BIO,1.5,0.51,13.5
ID_57425_3,741041,BIO,1.5,0.51,13.5
ID_57902_G123,106771,BIO,1.6,0.55,13.5
ID_57902_G162,106771,BIO,1.6,0.55,13.5
ID_58142_CHP1,741041,BIO,1.6,0.55,13.5
ID_58142_CHP2,741041,BIO,1.6,0.55,13.5
ID_58967_UNIT1,741041,BIO,0.8,0.27,13.5
ID_58967_UNIT2,741041,BIO,0.8,0.27,13.5
ID_58967_UNIT3,741041,BIO,0.8,0.27,13.5
ID_58968_UNIT1,741041,BIO,1.5,0.51,13.5
ID_58968_UNIT2,741041,BIO,1.5,0.51,13.5
ID_58968_UNIT3,741041,BIO,1.5,0.51,13.5
ID_58969_UNIT1,741041,BIO,0.8,0.27,13.5
ID_58969_UNIT2,741041,BIO,0.8,0.27,13.5
ID_58970_UNIT1,741041,BIO,1.1,0.38,13.5
ID_58970_UNIT2,741041,BIO,1.1,0.38,13.5
ID_58970_UNIT3,741041,BIO,1.1,0.38,13.5
ID_59529_GEN1,501961,BIO,1.6,0.55,13.5
ID_10504_4000,741041,BIT (Bituminous Coal),6.2,2.8,9.75
ID_10504_1500,741041,BIT (Bituminous Coal),1.5,0.68,9.75
ID_10504_2500,741041,BIT (Bituminous Coal),2.5,1.13,9.75
ID_54690_2250,740011,BIT (Bituminous Coal),2.2,0.99,9.75
ID_54690_6500,740011,BIT (Bituminous Coal),6.0,2.71,9.75
ID_54578_1001,741041,NG (Natural Gas),10.4,4.59,8.037
ID_54579_1002,500071,NG (Natural Gas),10.4,4.59,8.037
ID_55179_CTG1,106771,NG (Natural Gas),179.4,79.24,8.037
ID_55179_STG1,106771,NG (Natural Gas),122.1,53.93,8.037
ID_57028_GTG,740011,NG (Natural Gas),187.0,82.6,8.037
ID_57028_STG,740011,NG (Natural Gas),131.5,58.08,8.037
ID_7456_1,106771,NG (Natural Gas),83.2,36.75,8.037
ID_7456_2,106771,NG (Natural Gas),83.2,36.75,8.037
